experiment,ground_truth_sep,snr,smdi_mean,smdi_std,delta_R_mean,recovered_sep,n_valid
specificity,1.4000,40,0.00000,0.00000,7.1125,1.4000,300
specificity,1.2938,40,0.00000,0.00000,6.4857,1.2938,300
specificity,1.1877,40,0.00000,0.00000,5.9990,1.1877,300
specificity,1.0815,40,0.00000,0.00000,5.3948,1.0815,300
specificity,0.9754,40,0.00002,0.00004,4.8184,0.9754,300
specificity,0.8692,40,0.00018,0.00021,4.2843,0.8692,300
specificity,0.7631,40,0.00117,0.00101,3.7660,0.7631,300
specificity,0.6569,40,0.00655,0.00411,3.2316,0.6569,300
specificity,0.5508,40,0.02871,0.01210,2.6964,0.5508,300
specificity,0.4446,40,0.10030,0.02726,2.1585,0.4446,300
specificity,0.3385,40,0.25409,0.04771,1.6628,0.3385,300
specificity,0.2323,40,0.53168,0.04597,1.1248,0.2323,300
specificity,0.1262,40,0.82975,0.02045,0.6101,0.1262,300
specificity,0.0200,40,0.99527,0.00060,0.0972,0.0200,300
snr_sweep,0.6000,8,0.84119,0.02064,0.5872,0.6000,300
snr_sweep,0.6000,12,0.67802,0.03302,0.8812,0.6000,300
snr_sweep,0.6000,16,0.50021,0.04448,1.1780,0.6000,300
snr_sweep,0.6000,20,0.34374,0.04738,1.4650,0.6000,300
snr_sweep,0.6000,30,0.08894,0.02882,2.2198,0.6000,300
snr_sweep,0.6000,45,0.00540,0.00359,3.2981,0.6000,300
snr_sweep,0.6000,65,0.00003,0.00004,4.7740,0.6000,300
